product_id,sku,vendor,status,image_full,image_thumb
gid://shopify/Product/15544892817481,AFM0106,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/10/AFM0106.png,https://www.akwa.co.za/wp-content/uploads/2025/10/AFM0106-300x300.png
gid://shopify/Product/15544893145161,AFM0110,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AFM0110-e1750923815572.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AFM0110-e1750923815572-300x300.png
gid://shopify/Product/15544892850249,AFM0111,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AFM0111-e1750923791426.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AFM0111-e1750923791426-300x300.png
gid://shopify/Product/15544912281673,AG0850,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/11/AG0850.png,https://www.akwa.co.za/wp-content/uploads/2025/11/AG0850-300x300.png
gid://shopify/Product/15544912347209,AG1002B,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1002B.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1002B-300x300.png
gid://shopify/Product/15544912707657,AG1007A,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1007A.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1007A-300x300.png
gid://shopify/Product/15544912740425,AG1012A,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1012A.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1012A-300x300.png
gid://shopify/Product/15544912773193,AG1014A,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1014A.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1014A-300x300.png
gid://shopify/Product/15544912805961,AG1017C,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1017C.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1017C-300x300.png
gid://shopify/Product/15544912838729,AG1017D,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1017D.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AG1017D-300x300.png
